subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,Analysis End Date,Start Date (SOM),Month Span,Month Number,Active Month
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-04-12,2023-12-01,4,1,2023-12-01
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-04-12,2023-12-01,4,2,2024-01-01
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-04-12,2023-12-01,4,3,2024-02-01
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-04-12,2023-12-01,4,4,2024-03-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,1,2024-06-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,2,2024-07-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,3,2024-08-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,4,2024-09-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,5,2024-10-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,6,2024-11-01
S-0f6f44,A-9b9fe9,2024-06-11,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-06-01,7,7,2024-12-01
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-12-13,2024-11-01,1,1,2024-11-01
